study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_min,mean,sd,change,change_sd,ri,yi,vi
Triplett_2022,Triplett_2022,2022,USA,179,0,NA,Combined,BMI,24.3,4.3,0,24.3,4.3,NA,NA,0.9,0,3.498656688020964e-5
Triplett_2022,Triplett_2022,2022,USA,179,0,NA,Combined,Body mass (kg),73.7,17.6,0,73.7,17.6,NA,NA,0.9,0,6.371876131723608e-5
Triplett_2022,Triplett_2022,2022,USA,116,0,NA,Adolescent,BMI Percentile,65,25,0,65,25,NA,NA,0.9,0,2.550499897980003e-4
Triplett_2022,Triplett_2022,2022,USA,179,6.3,0.7,Combined,BMI,24.3,4.3,0,25,4.7,NA,NA,0.9,0.02839947452169795,3.78519322698666e-5
Triplett_2022,Triplett_2022,2022,USA,179,6.3,0.7,Combined,Body mass (kg),73.7,17.6,0,75.8,18.6,NA,NA,0.9,0.02809549345303503,6.571517967839525e-5
Triplett_2022,Triplett_2022,2022,USA,116,6.2,0.7,Adolescent,BMI Percentile,65,25,0,67,25,NA,NA,0.9,0.03030534949532884,2.4857289048034166e-4
Hsu_2018,Hsu_2018,2018,Taiwan,28,0,NA,Combined,Body mass (kg),74.7,16.1,0,74.7,16.1,NA,NA,0.9,0,3.318046841538397e-4
Hsu_2018,Hsu_2018,2018,Taiwan,28,0,NA,Combined,BMI,26.4,4,0,26.4,4,NA,NA,0.9,0,1.6397743670470955e-4
Hsu_2018,Hsu_2018,2018,Taiwan,28,3.68,NA,Combined,Body mass (kg),74.7,16.1,0,75.1,16,NA,NA,0.9,0.00534046663131728,3.2820706478081576e-4
Hsu_2018,Hsu_2018,2018,Taiwan,28,3.68,NA,Combined,BMI,26.4,4,0,26.4,4.4,NA,NA,0.9,0,1.8857405221041609e-4
Hsu_2018,Hsu_2018,2018,Taiwan,28,6.44,NA,Combined,Body mass (kg),74.7,16.1,0,75.7,16.3,NA,NA,0.9,0.01329806830463141,3.314903822218139e-4
Hsu_2018,Hsu_2018,2018,Taiwan,28,6.44,NA,Combined,BMI,26.4,4,0,26.4,4.7,NA,NA,0.9,0,2.1778253312344225e-4
Azus_2018,Azus_2018,2018,United States,46,0,NA,Group 1,BMI,24,3.1,0,24,3.1,NA,NA,0.9,0,7.253925120772947e-5
Azus_2018,Azus_2018,2018,United States,45,6,NA,Group 1,BMI,24,3.1,0,23.7,2.7,NA,NA,0.9,-0.01257878220686018,7.056389596080093e-5
Azus_2018,Azus_2018,2018,United States,43,12,NA,Group 1,BMI,24,3.1,0,23.7,2.6,NA,NA,0.9,-0.01257878220686018,7.471644180539864e-5
Eriksson_2001,Eriksson_2001,2001,Sweeden,164,0,NA,combined,Body mass (kg),72,13,0,72,13,NA,NA,0.9,0,3.9756473953628355e-5
