study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_pre,timepoint_distance,mean,sd,change,change_sd,ri,yi,vi,yi_d,vi_d,sei_d
Triplett_2022,Triplett_2022,2022,USA,179,0,NA,Combined,BMI,NA,NA,NA,NA,24.3,4.3,NA,NA,0.9,NA,NA,NA,NA,NA
Triplett_2022,Triplett_2022,2022,USA,179,0,NA,Combined,Body mass (kg),NA,NA,NA,NA,73.7,17.6,NA,NA,0.9,NA,NA,NA,NA,NA
Triplett_2022,Triplett_2022,2022,USA,116,0,NA,Adolescent,BMI Percentile,NA,NA,NA,NA,65,25,NA,NA,0.9,NA,NA,NA,NA,NA
Triplett_2022,Triplett_2022,2022,USA,179,6.3,0.7,Combined,BMI,24.3,4.3,0,6.3,25,4.7,NA,NA,0.9,0.028399474521697957,3.78519322698666e-5,0.004507853098682215,9.536893995935148e-7,9.76570222561345e-4
Triplett_2022,Triplett_2022,2022,USA,179,6.3,0.7,Combined,Body mass (kg),73.7,17.6,0,6.3,75.8,18.6,NA,NA,0.9,0.028095493453035036,6.571517967839525e-5,0.004459602135402386,1.6557112541797747e-6,0.0012867444401200164
Triplett_2022,Triplett_2022,2022,USA,116,6.2,0.7,Adolescent,BMI Percentile,65,25,0,6.2,67,25,NA,NA,0.9,0.030305349495328843,2.4857289048034166e-4,0.004887959596020781,6.46651640167382e-6,0.0025429346042857297
Hsu_2018,Hsu_2018,2018,Taiwan,28,0,NA,Combined,Body mass (kg),NA,NA,NA,NA,74.7,16.1,NA,NA,0.9,NA,NA,NA,NA,NA
Hsu_2018,Hsu_2018,2018,Taiwan,28,0,NA,Combined,BMI,NA,NA,NA,NA,26.4,4,NA,NA,0.9,NA,NA,NA,NA,NA
Hsu_2018,Hsu_2018,2018,Taiwan,28,3.68,NA,Combined,Body mass (kg),74.7,16.1,0,3.68,75.1,16,NA,NA,0.9,0.0053404666313172835,3.2820706478081576e-4,0.0014512137585101312,2.4235516952742184e-5,0.004922958150618608
Hsu_2018,Hsu_2018,2018,Taiwan,28,3.68,NA,Combined,BMI,26.4,4,0,3.68,26.4,4.4,NA,NA,0.9,0,1.8857405221041606e-4,0,1.3924714394081998e-5,0.0037315833628745318
Hsu_2018,Hsu_2018,2018,Taiwan,28,6.44,NA,Combined,Body mass (kg),75.1,16,3.68,2.7600000000000002,75.7,16.3,NA,NA,0.9,0.00795760167331414,3.2786006474463773e-4,0.0028831890120703404,4.303981106183544e-5,0.006560473387022879
Hsu_2018,Hsu_2018,2018,Taiwan,28,6.44,NA,Combined,BMI,26.4,4.4,3.68,2.7600000000000002,26.4,4.7,NA,NA,0.9,0,2.1655270234815734e-4,0,2.8427943492459213e-5,0.005331786144666646
Azus_2018,Azus_2018,2018,United States,46,0,NA,Group 1,BMI,NA,NA,NA,NA,24,3.1,NA,NA,0.9,NA,NA,NA,NA,NA
